id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,result_margin,eliminator,method,umpire1,umpire2,venue
12,2008,Bangalore,2008-05-24,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
13,2008,Hyderabad,2008-04-03,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
14,2008,Ahmedabad,2008-04-06,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,runs,0,Gujarat Titans,14,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
15,2008,Mumbai,2008-05-22,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,tie,0,Chennai Super Kings,0,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
16,2008,Mohali,2008-04-14,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,wickets,0,Punjab Kings,3,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
17,2008,Bangalore,2008-04-16,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
18,2008,Hyderabad,2008-04-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,5,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
19,2008,Ahmedabad,2008-05-03,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,runs,0,Gujarat Titans,57,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
20,2008,Mumbai,2008-04-23,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,runs,0,Mumbai Indians,12,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
21,2008,Mohali,2008-04-28,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,wickets,0,Kolkata Knight Riders,3,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
22,2008,Bangalore,2008-04-21,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
23,2008,Hyderabad,2008-05-19,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,runs,0,Rajasthan Royals,46,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
24,2008,Ahmedabad,2008-03-28,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,4,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
25,2008,Mumbai,2008-03-23,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,52,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
26,2008,Mohali,2008-04-10,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,3,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
27,2008,Bangalore,2008-05-06,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,wickets,0,Lucknow Super Giants,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
28,2008,Hyderabad,2008-04-18,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,1,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
29,2008,Ahmedabad,2008-04-01,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,wickets,0,Delhi Capitals,7,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
30,2008,Mumbai,2008-04-01,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,9,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
31,2008,Mohali,2008-05-28,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,runs,0,Punjab Kings,18,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
32,2008,Bangalore,2008-03-11,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Royal Challengers Bangalore,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
33,2008,Hyderabad,2008-05-09,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,4,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
34,2008,Ahmedabad,2008-04-23,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,2,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
35,2008,Mumbai,2008-05-15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,21,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
36,2008,Mohali,2008-03-07,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Punjab Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
37,2008,Bangalore,2008-03-02,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,8,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
38,2008,Hyderabad,2008-05-06,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
39,2008,Ahmedabad,2008-04-21,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
40,2008,Mumbai,2008-04-07,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,55,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
41,2008,Mohali,2008-05-08,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,runs,0,Punjab Kings,15,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
42,2008,Bangalore,2008-04-05,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,5,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
43,2008,Hyderabad,2008-05-24,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Sunrisers Hyderabad,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
44,2008,Ahmedabad,2008-05-22,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,runs,0,Gujarat Titans,64,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
45,2008,Mumbai,2008-03-10,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Mumbai Indians,5,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
46,2008,Mohali,2008-04-21,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,runs,0,Kolkata Knight Riders,17,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2008,Bangalore,2008-03-09,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,34,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
48,2008,Hyderabad,2008-03-18,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,1,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
49,2008,Ahmedabad,2008-05-21,Gujarat Titans,Delhi Capitals,Delhi Capitals,bat,wickets,0,Gujarat Titans,3,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
50,2008,Mumbai,2008-03-04,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,wickets,0,Mumbai Indians,4,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
51,2008,Mohali,2008-05-03,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,16,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
52,2008,Bangalore,2008-05-24,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,5,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
53,2008,Hyderabad,2008-03-19,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,runs,0,Rajasthan Royals,11,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
54,2008,Ahmedabad,2008-04-18,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,runs,0,Gujarat Titans,12,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
55,2008,Mumbai,2008-05-27,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,runs,0,Chennai Super Kings,4,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
56,2008,Mohali,2008-04-18,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Punjab Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
57,2008,Bangalore,2008-03-21,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,runs,0,Royal Challengers Bangalore,66,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
58,2008,Hyderabad,2008-04-02,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,47,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
59,2009,Jaipur,2009-03-06,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,runs,0,Rajasthan Royals,57,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
60,2009,Mumbai,2009-03-01,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,runs,0,Mumbai Indians,2,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
61,2009,Mohali,2009-05-14,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,wickets,0,Punjab Kings,8,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
62,2009,Hyderabad,2009-05-07,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
63,2009,Chennai,2009-03-08,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,runs,0,Chennai Super Kings,46,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
64,2009,Jaipur,2009-05-26,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,3,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
65,2009,Mumbai,2009-04-17,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,runs,0,Mumbai Indians,6,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
66,2009,Mohali,2009-04-08,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,wickets,0,Punjab Kings,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
67,2009,Hyderabad,2009-04-04,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
68,2009,Chennai,2009-05-17,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,34,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
69,2009,Jaipur,2009-04-10,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,runs,0,Delhi Capitals,41,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
70,2009,Mumbai,2009-05-21,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,21,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
71,2009,Mohali,2009-04-23,Punjab Kings,Gujarat Titans,Gujarat Titans,field,wickets,0,Gujarat Titans,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
72,2009,Hyderabad,2009-05-10,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,runs,0,Royal Challengers Bangalore,33,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
73,2009,Chennai,2009-03-25,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,runs,0,Lucknow Super Giants,33,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
74,2009,Jaipur,2009-04-18,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,12,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
75,2009,Mumbai,2009-04-05,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,5,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
76,2009,Mohali,2009-04-24,Punjab Kings,Gujarat Titans,Gujarat Titans,field,wickets,0,Gujarat Titans,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
77,2009,Hyderabad,2009-03-08,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,runs,0,Royal Challengers Bangalore,17,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
78,2009,Chennai,2009-05-26,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
79,2009,Jaipur,2009-05-17,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,wickets,0,Rajasthan Royals,5,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
80,2009,Mumbai,2009-04-24,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,runs,0,Kolkata Knight Riders,17,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
81,2009,Mohali,2009-04-28,Punjab Kings,Gujarat Titans,Gujarat Titans,field,tie,0,Punjab Kings,0,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
82,2009,Hyderabad,2009-04-08,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,0,Sunrisers Hyderabad,21,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
83,2009,Chennai,2009-04-01,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Chennai Super Kings,1,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
84,2009,Jaipur,2009-05-03,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,7,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
85,2009,Mumbai,2009-03-12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,wickets,0,Kolkata Knight Riders,6,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
86,2009,Mohali,2009-05-19,Punjab Kings,Gujarat Titans,Gujarat Titans,field,runs,0,Punjab Kings,15,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
87,2009,Hyderabad,2009-03-16,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,42,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
88,2009,Chennai,2009-04-23,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,wickets,0,Chennai Super Kings,6,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
89,2009,Jaipur,2009-03-10,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,10,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
90,2009,Mumbai,2009-04-17,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,runs,0,Kolkata Knight Riders,10,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
91,2009,Mohali,2009-04-21,Punjab Kings,Gujarat Titans,Punjab Kings,field,runs,0,Gujarat Titans,3,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
92,2009,Hyderabad,2009-03-20,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,wickets,0,Royal Challengers Bangalore,8,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
93,2009,Chennai,2009-03-25,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,runs,0,Lucknow Super Giants,29,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
94,2009,Jaipur,2009-03-10,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,wickets,0,Delhi Capitals,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
95,2009,Mumbai,2009-03-21,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,22,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
96,2009,Mohali,2009-04-01,Punjab Kings,Gujarat Titans,Punjab Kings,bat,wickets,0,Gujarat Titans,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
97,2009,Hyderabad,2009-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,0,Sunrisers Hyderabad,16,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
98,2009,Chennai,2009-03-10,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Chennai Super Kings,26,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
99,2009,Jaipur,2009-03-27,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,wickets,0,Rajasthan Royals,5,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
100,2009,Mumbai,2009-04-19,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Mumbai Indians,20,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
101,2009,Mohali,2009-05-27,Punjab Kings,Gujarat Titans,Gujarat Titans,field,wickets,0,Gujarat Titans,6,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
102,2009,Hyderabad,2009-04-08,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,10,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
103,2009,Chennai,2009-04-03,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,runs,0,Chennai Super Kings,47,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
104,2009,Jaipur,2009-05-12,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
105,2009,Mumbai,2009-05-01,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,8,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
106,2009,Mohali,2009-05-05,Punjab Kings,Gujarat Titans,Punjab Kings,field,runs,0,Gujarat Titans,46,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
107,2009,Hyderabad,2009-04-21,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
108,2009,Chennai,2009-03-05,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,wickets,0,Lucknow Super Giants,7,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
109,2009,Jaipur,2009-04-18,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,4,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
110,2009,Mumbai,2009-03-23,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,19,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
111,2009,Mohali,2009-04-10,Punjab Kings,Gujarat Titans,Punjab Kings,bat,runs,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
112,2009,Hyderabad,2009-05-18,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,4,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
113,2009,Chennai,2009-04-14,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Chennai Super Kings,25,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
114,2009,Jaipur,2009-03-25,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,wickets,0,Rajasthan Royals,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
115,2009,Mumbai,2009-04-08,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Mumbai Indians,6,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
116,2010,Ahmedabad,2010-03-19,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,wickets,0,Mumbai Indians,3,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
117,2010,Chennai,2010-05-17,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,0,Royal Challengers Bangalore,24,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
118,2010,Mohali,2010-05-21,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,runs,0,Punjab Kings,36,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
119,2010,Lucknow,2010-05-13,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"Ekana Cricket Stadium, Lucknow"
120,2010,Kolkata,2010-05-28,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,runs,0,Rajasthan Royals,40,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
121,2010,Ahmedabad,2010-03-16,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
122,2010,Chennai,2010-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Chennai Super Kings,7,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
123,2010,Mohali,2010-05-07,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,0,Punjab Kings,6,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
124,2010,Lucknow,2010-05-19,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,runs,0,Lucknow Super Giants,54,N,,Umpire A,Umpire B,"Ekana Cricket Stadium, Lucknow"
125,2010,Kolkata,2010-05-05,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,26,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
126,2010,Ahmedabad,2010-04-16,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,5,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
127,2010,Chennai,2010-04-08,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,runs,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
